matrixDimension,timeInnerExact,errorInnerExact,timeOuterExact,errorOuterExact,timeOuterApprox,errorOuterApprox,subsample,subsampling
129,7.806000,0.000000,7.471000,0.000000,3.212000,4104.194824,0.400000,2
130,8.064000,0.000000,7.624000,0.000000,3.243000,4146.016602,0.400000,2
131,8.185000,0.000000,7.806000,0.000000,3.358000,4187.712402,0.400000,2
132,9.145000,0.000000,8.396000,0.000000,3.705000,4263.039551,0.400000,2
133,9.483000,0.000000,8.519000,0.000000,3.542000,4379.937988,0.400000,2
134,8.720000,0.000000,8.326000,0.000000,3.652000,4407.773926,0.400000,2
135,8.899000,0.000000,11.300000,0.000000,3.946000,4493.516113,0.400000,2
136,9.117000,0.000000,9.441000,0.000000,3.806000,4564.651855,0.400000,2
137,9.405000,0.000000,8.931000,0.000000,3.805000,4616.965332,0.400000,2
138,9.531000,0.000000,9.117000,0.000000,3.991000,4663.208984,0.400000,2
139,12.645000,0.000000,9.468000,0.000000,3.987000,4813.145508,0.400000,2
140,9.926000,0.000000,9.516000,0.000000,4.050000,4861.595703,0.400000,2
141,10.214000,0.000000,9.787000,0.000000,4.189000,4901.638672,0.400000,2
142,10.314000,0.000000,9.954000,0.000000,4.255000,4989.854004,0.400000,2
143,10.549000,0.000000,10.141000,0.000000,4.483000,5020.723633,0.400000,2
144,10.805000,0.000000,11.262000,0.000000,5.786000,5133.589355,0.400000,2
145,11.510000,0.000000,10.605000,0.000000,4.500000,5197.073242,0.400000,2
146,11.253000,0.000000,10.768000,0.000000,4.611000,5309.732910,0.400000,2
147,11.519000,0.000000,10.963000,0.000000,4.677000,5315.749512,0.400000,2
148,11.761000,0.000000,11.282000,0.000000,5.510000,5379.187988,0.400000,2
149,12.048000,0.000000,12.198000,0.000000,5.429000,5500.101562,0.400000,2
150,12.300000,0.000000,11.630000,0.000000,4.973000,5610.338379,0.400000,2
151,14.775000,0.000000,12.504000,0.000000,5.110000,5644.791992,0.400000,2
152,15.837000,0.000000,12.199000,0.000000,5.195000,5646.607422,0.400000,2
153,12.913000,0.000000,12.382000,0.000000,5.334000,5798.692871,0.400000,2
154,13.196000,0.000000,12.661000,0.000000,5.371000,5779.372070,0.400000,2
155,13.510000,0.000000,12.911000,0.000000,5.431000,5910.333496,0.400000,2
156,16.229000,0.000000,13.598000,0.000000,5.646000,5977.665527,0.400000,2
157,14.096000,0.000000,13.427000,0.000000,5.652000,6042.246094,0.400000,2
158,14.444000,0.000000,13.638000,0.000000,5.839000,6104.583496,0.400000,2
159,14.716000,0.000000,13.881000,0.000000,5.905000,6195.657715,0.400000,2
160,14.969000,0.000000,14.199000,0.000000,6.410000,6381.006836,0.400000,2
161,15.080000,0.000000,14.497000,0.000000,6.174000,6410.358398,0.400000,2
162,15.415000,0.000000,14.788000,0.000000,6.210000,6427.387695,0.400000,2
163,15.656000,0.000000,15.061000,0.000000,6.441000,6539.488281,0.400000,2
164,18.001000,0.000000,15.990000,0.000000,9.277000,6649.218262,0.400000,2
165,16.517000,0.000000,15.625000,0.000000,6.566000,6759.407227,0.400000,2
166,16.530000,0.000000,15.908000,0.000000,6.750000,6782.868652,0.400000,2
167,19.128000,0.000000,17.002000,0.000000,6.818000,6891.840820,0.400000,2
168,17.117000,0.000000,16.616000,0.000000,7.058000,6939.990723,0.400000,2
169,17.421000,0.000000,16.823000,0.000000,7.085000,6973.272461,0.400000,2
170,17.806000,0.000000,17.165000,0.000000,7.140000,7127.642090,0.400000,2
